,0
0,Arkansas
1,Connecticut
2,Delaware
3,Hawaii
4,Illinois
5,Indiana
6,Iowa
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Massachusetts
12,Michigan
13,Minnesota
14,Mississippi
15,Nevada
16,New Hampshire
17,New Jersey
18,Oklahoma
19,Oregon
20,Pennsylvania
21,Rhode Island
22,Tennessee
23,Utah
24,Vermont
25,West Virginia
26,Wisconsin
27,Wyoming
